freq,name,acc,total_time,transmission_time,transmission_volume,transmission_volume_readable,transmission_volume_history,speedup_ratio,speedup_trans_ratio
1,Baseline: No Freeze,"[0.113, 0.1617, 0.2506, 0.2983, 0.3383, 0.3564, 0.3979, 0.4188, 0.4432, 0.46619999999999995, 0.47840000000000005, 0.5036, 0.5135000000000001, 0.5425, 0.5597, 0.5640999999999999, 0.5871, 0.5985, 0.605, 0.6078, 0.632, 0.6494, 0.6528, 0.6587000000000001, 0.6664, 0.6778, 0.6873999999999999, 0.6853, 0.6927, 0.7120000000000001, 0.7112, 0.7241, 0.7333, 0.7356999999999999, 0.7354, 0.7398, 0.7437999999999999, 0.7481, 0.7537, 0.7572, 0.7593000000000001, 0.7535, 0.765, 0.7681999999999999, 0.7735, 0.7748999999999999, 0.7807, 0.7812, 0.7801, 0.785, 0.7901, 0.7911, 0.7864, 0.792, 0.7945, 0.7931, 0.8008, 0.8029000000000001, 0.8051, 0.8019, 0.8064, 0.8073, 0.8122, 0.8112999999999999, 0.8142, 0.8083, 0.8195999999999999, 0.8168000000000001, 0.8194, 0.8195, 0.8167, 0.8201999999999999, 0.8218000000000001, 0.8198000000000001, 0.8266, 0.8222, 0.8284, 0.8269, 0.8281999999999999, 0.8295, 0.8243, 0.8271, 0.8342, 0.8245, 0.8354, 0.8293, 0.8327, 0.8345, 0.8323999999999999, 0.8328, 0.8332999999999999, 0.8343, 0.8393, 0.8371999999999999, 0.8378, 0.8384999999999999, 0.8442000000000001, 0.8388, 0.8436, 0.8426]",2211.016074,1932.726528,87508547200,10.1873 GB,"[1029512320, 2059024640, 3088536960, 4118049280, 5147561600, 6177073920, 7206586240, 8236098560, 9265610880, 10295123200, 11324635520, 12354147840, 13383660160, 14413172480, 15442684800, 16472197120, 17501709440, 18531221760, 19560734080, 20590246400, 21619758720, 22649271040, 23678783360, 24708295680, 25737808000, 26767320320, 27796832640, 28826344960, 29855857280, 30885369600, 31914881920, 32944394240, 33973906560, 35003418880, 36032931200, 37062443520, 38091955840, 39121468160, 40150980480, 41180492800, 42210005120, 43239517440, 44269029760, 45298542080, 46328054400, 47357566720, 48387079040, 49416591360, 50446103680, 51475616000, 52505128320, 53534640640, 54564152960, 55593665280, 56623177600, 57652689920, 58682202240, 59711714560, 60741226880, 61770739200, 62800251520, 63829763840, 64859276160, 65888788480, 66918300800, 67947813120, 68977325440, 70006837760, 71036350080, 72065862400, 73095374720, 74124887040, 75154399360, 76183911680, 77213424000, 78242936320, 79272448640, 80301960960, 81331473280, 82360985600, 83390497920, 84420010240, 85449522560, 86479034880, 87508547200]",1.0,1.0
1,Gradually Freezing: Primary Model,"[0.113, 0.1617, 0.2506, 0.2983, 0.3383, 0.3564, 0.3979, 0.4188, 0.4432, 0.46619999999999995, 0.47840000000000005, 0.5036, 0.5135000000000001, 0.5425, 0.5597, 0.5778, 0.5878, 0.6001, 0.6118, 0.6222, 0.6453, 0.6428, 0.6636, 0.6708, 0.6644, 0.6865000000000001, 0.6973999999999999, 0.6949, 0.7086, 0.7095999999999999, 0.7177, 0.7227, 0.7247, 0.7297, 0.7337, 0.7361, 0.7432, 0.7397, 0.7433, 0.7511, 0.7526, 0.7524, 0.7532, 0.7611, 0.7618, 0.7626000000000001, 0.7601, 0.7626000000000001, 0.7692, 0.7654000000000001, 0.7704000000000001, 0.77, 0.7703, 0.7718, 0.7737, 0.7735, 0.7751, 0.7757999999999999, 0.7729, 0.774, 0.7737, 0.777, 0.7784, 0.7759999999999999, 0.7787000000000001, 0.7768999999999999, 0.7811, 0.7803, 0.7807999999999999, 0.7817000000000001, 0.7834, 0.7803, 0.7817000000000001, 0.78, 0.7807999999999999, 0.7801, 0.7798999999999999, 0.7829, 0.7814, 0.7814, 0.7818999999999999, 0.7816, 0.7828, 0.782, 0.7839, 0.7839, 0.7828, 0.7809999999999999, 0.7831999999999999, 0.7817000000000001, 0.7813, 0.7825, 0.7837000000000001, 0.7847, 0.7836, 0.7834, 0.782, 0.7834, 0.7825, 0.7815000000000001]",1946.308411,1698.879316,74331111040,8.6533 GB,"[1029512320, 2059024640, 3088536960, 4118049280, 5147561600, 6177073920, 7206586240, 8236098560, 9264801920, 10293505280, 11322208640, 12350912000, 13379615360, 14408318720, 15437022080, 16462796800, 17488571520, 18514346240, 19540120960, 20565895680, 21591670400, 22617445120, 23637444480, 24657443840, 25677443200, 26697442560, 27717441920, 28737441280, 29757440640, 30766339840, 31775239040, 32784138240, 33793037440, 34801936640, 35810835840, 36819735040, 37806597760, 38793460480, 39780323200, 40767185920, 41754048640, 42740911360, 43727774080, 44671464960, 45615155840, 46558846720, 47502537600, 48446228480, 49389919360, 50333610240, 51191285120, 52048960000, 52906634880, 53764309760, 54621984640, 55479659520, 56337334400, 57108993280, 57880652160, 58652311040, 59423969920, 60195628800, 60967287680, 61738946560, 62424589440, 63110232320, 63795875200, 64481518080, 65167160960, 65852803840, 66538446720, 67138073600, 67737700480, 68337327360, 68936954240, 69536581120, 70136208000, 70735834880, 71249445760, 71763056640, 72276667520, 72790278400, 73303889280, 73817500160, 74331111040]",1.136004993609412,1.1376479246039628
5,Baseline: No Freeze,"[0.1125, 0.2379, 0.3629, 0.4658, 0.5267000000000001, 0.5884, 0.6445000000000001, 0.6888, 0.691, 0.7226, 0.7415, 0.7603, 0.7686, 0.7734000000000001, 0.7737, 0.7959, 0.7976000000000001, 0.8006, 0.8115000000000001, 0.8062]",434.832844,168.072168,8750854720,1.0187 GB,"[514756160, 1029512320, 1544268480, 2059024640, 2573780800, 3088536960, 3603293120, 4118049280, 4632805440, 5147561600, 5662317760, 6177073920, 6691830080, 7206586240, 7721342400, 8236098560, 8750854720]",1.0,1.0
5,Gradually Freezing: Primary Model,"[0.1125, 0.2379, 0.3629, 0.4731, 0.5068, 0.6011, 0.6487, 0.6674, 0.6886, 0.6912999999999999, 0.7056999999999999, 0.7140000000000001, 0.7243999999999999, 0.723, 0.7234, 0.7319, 0.7343999999999999, 0.7362000000000001, 0.7326, 0.7336]",420.436052,158.066767,8286946880,987.8811 MB,"[514756160, 1029512320, 1543864000, 2058215680, 2571103040, 3083990400, 3593990080, 4103989760, 4608439360, 5112888960, 5606320320, 6099751680, 6571597120, 7043442560, 7472280000, 7901117440, 8286946880]",1.0342425249488358,1.0632985743296692
